Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
LEKI IMMUNOSUPRESYJNE,Mechanizm działania,lekarski,testowe,Które stwierdzenie jest prawdziwe?,takrolimus i ewerolimus tworzą kompleks z immunofiliną FKBP,takrolimus i ewerolimus należą do leków o wąskim indeksie (wskaźniku) terapeutycznym,,,,takrolimus i ewerolimus mają ten sam mechanizm działania,takrolimus i ewerolimus działają przeciwnowotorowo,,,,KOLOKWIUM 1 – 2018/19,srednia
LEKI IMMUNOSUPRESYJNE,Mechanizm działania,lekarski,testowe,Taki sam mechanizm działania mają:,bazyliksymab i daklizumab,rytuksymab i okrelizumab,,,,natalizumab i fingolimod,filgrastym i romiplostym,,,,KOLOKWIUM 1 – 2018/19,wysoka
LEKI ROŚLINNE I SUPLEMENTY,Mechanizm działania,lekarski,testowe,Powikłaniem stosowania inhibitora H+ K+ –ATPazy komórek okładzinowych może być:,niedokrwistość makrocytarna z powodu niedoboru witaminy B12,osteoporoza z powodu zaburzeń wchłaniania wapnia,bakteryjne zakażenia przewodu pokarmowego,zmiany wchłaniania wielu leków z przewodu pokarmowego,,,,,,,KOLOKWIUM 1 – 2018/19,srednia
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Lekiem stosowanym w objawach ze strony przewodu pokarmowego o wpływie na układ opioidowy jest:,trimebutyna,racekadotryl,metylnaltrekson,,,dekstrometorfan,,,,,KOLOKWIUM 1 – 2018/19,srednia
HEMOSTAZA,Dawkowanie,lekarski,testowe,W niewydolności nerek należy zmodyfikować dawkowanie:,eteksylanu dabigatranu,,,,,atorwastatyny,kwasu acetylosalicylowego,lewotyroksyny,,,KOLOKWIUM 1 – 2018/19,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Dawkowanie,lekarski,testowe,Paracetamol:,"jest prawdopodobnie słabym niewybiórczym inhibitorem cyklooksygenaz (COX), ale bez działania przeciwzapalnego",via aktywny metabolit hamuje wychwyt zwrotny endokanabinoidów,ma maksymalną dawkę dobową ustaloną na 4 g/d (a u osób z zespołem zależności alkoholowej na 2 g/d),,,po przedawkowaniu jest antagonizowany przez dożylne wlewy glutationu (GSH),,,,,KOLOKWIUM 1 – 2018/19,wysoka
CUKRZYCA,Działania niepożądane,lekarski,testowe,Tramadol:,ma mechanizm działania podobny do tapentadolu,może powodować drgawki,,,,może zwiększać ryzyko hiperglikemii i pogarszać kontrolę cukrzycy,działa przeciwbólowo skuteczniej w połączeniu z lekami przeciwdepresyjnymi z powodu synergizmu działania,,,,KOLOKWIUM 1 – 2018/19,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Sposób podania,lekarski,testowe,Rotacja opioidów:,"wymaga ustalenia ekwianelgetycznych dawek zamienianych opioidów, np. morfina : oksykodon p.o. odpowiednio 10 mg : 6,67 mg",,,,,wymaga nie łączenia opioidów z innymi lekami przeciwbólowymi,pomaga zapobiec immunosupresyjnemu działaniu opioidów,"powinna być oparta o tą samą drogę podania, to znaczy rotowane opioidy powinny mieć tę samą postać farmaceutyczną",,,KOLOKWIUM 1 – 2018/19,wysoka
UKŁAD PRZYWSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,"Pasażerowie podróżujący wagonem metra, w którym odnaleziono porzucony bagaż, zostali przyjęci na oddział ratunkowy z powodu bolesnych skurczów jelit, wymiotów, duszności i osłabienia siły mięśniowej. W badaniu fizykalnym stwierdzono zwiększoną częstość oddechów, świsty oskrzelowe, bradykardię i zwężenie źrenic. Lek/leki z wyboru w powyższej sytuacji to:",acetylocysteina,pralidoksym,pirydostygmina,atropina,,,,,,,KOLOKWIUM 1 – 2018/19,wysoka
LEKI PRZECIWNOWOTWOROWE,Wskazania,lekarski,testowe,Inhibitory immunologicznych punktów kontrolnych:,"są przeciwciałami monoklonalnymi przeciw CLTA-4, PD-1 i PDL-1",nawiązują koncepcyjnie do immunostymulującego działania szczepionki BCG w raku pęcherza moczowego,są skuteczne w leczeniu różnych typów nowotworów,indukują zjawiska autoimmunologiczne,,,,,,,KOLOKWIUM 1 – 2018/19,niska
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Projektant mody Alexander McQeen (1969-2010) był uzależniony od wielu substancji psychoaktywnych. Które cechy opisu jego zachowania z filmu biograficznego „Wizjoner. Buntownik. Geniusz” wskazują na ekspozycję na kokainę?,"gadatliwy, w świetnym nastroju, pełen energii i bardzo ruchliwy mimo 16 h pracy przed pokazem, ale spocony i z nawracającymi krwawieniami z nosa",,,,,"brawurowy i agresywny, z zaburzeniami mowy i równowagi ruchowej","błyskotliwy, dowcipny, szybko przyswajający duże ilości nowych informacji, ale ciągle głodny i z okresowymi napadami paniki","w euforii, komplementujący współpracowników, okresowo z barwnymi wizjami, okresowo podsypiający, z przekrwionymi twardówkami",,,KOLOKWIUM 1 – 2018/19,niska
HEMOSTAZA,Antidotum,lekarski,testowe,Działanie farmakologiczne inne niż suplementacja w stanach niedoboru ma:,fitomenadion w niewydolności wątroby i przedawkowaniu warfaryny,cholekalcyferol w profilaktyce i leczeniu osteoporozy,,,,nikotynamid w hiperurykemii i atakach dny moczanowej,tokoferol w profilatyce raka płuc,,,,KOLOKWIUM 1 – 2018/19,niska
CUKRZYCA,Wskazania,lekarski,testowe,Obniżenie stężenia potasu w surowicy może być spowodowane zastosowaniem:,bisakodylu,prednizonu,glukozy z insuliną,,,glukonianu wapnia,,,,,KOLOKWIUM 1 – 2018/19,niska
STANY NAGŁE,Klasyfikacja,lekarski,testowe,Zasadzką płynoterapii jest:,obrzęk płuc po nawadnianiu płynem wieloelektrolitowym,brak możliwości wiarygodnego oznaczenia grupy krwi i wykonania próby krzyżowej po padaniu dekstranu 70 000,"hiperonkotyczna niewydolność nerek po podaniu hydroksyetylowanej skrobi 130/0,4",,,zakrzepica podczas stosowania 20% roztworu albumin,,,,,KOLOKWIUM 1 – 2018/19,srednia
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Wskaż prawdziwe stwierdzenia:,"w USA obowiązuje nazewnictwo leków w pewnym zakresie autonomiczne od tworzonej przez WHO listy nazw międzynarodowych, przykłady paracetamol i acetaminofen czy petydyna i meperydyna",,,,,po wygaśnięciu ochrony patentowej enoksaparyny wprowadzono jej odtwórcze odpowiedniki tylko na podstawie wykazania ich biorównoważności,antysensowne oligonukleotydy mają w nazwie końcówkę -stim,przy konwersji między lekami biopodobnymi obowiązuje zasada zamiany automatycznej (substytucji),,,KOLOKWIUM 1 – 2018/19,niska
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Wskaż prawidłowe zestawienia lek-spektrum działania:,"cyprofloksacyna – Pseudomonas aeruginosa, Mycoplasma pneumoniae","penicylina G – Fusobacterium spp., Streptococcus pyogenes","rifaksymina – Escherichia coli, Campylobacter jejuni",,,"gentamycyna – Clostridium spp., Helicobacter pylori",,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,Wskaż zdania prawdziwe:,zastosowanie technologii liposomów pozwoliło na otrzymanie preparatów amfoterycyny B o zmniejszonej nefrotoksyczności,,,,,"w przeciwieństwie do terbinafiny, azole hamują enzym szlaku biosyntezy ergosterolu niezwiązany z układem CYP450",kaspofungina może być skuteczna w leczeniu i profilaktyce zapalenia opon mózgowo-rdzeniowych o etiologii Cryptococcus neoformans,"dla uzyskania możliwie najlepszych efektów leczenia amfoterycyną B najistotniejsze z punktu widzenia PK/PD jest, aby stężenie leku pomiędzy kolejnymi podaniami utrzymywało się na poziomie 4 x MIC optymalnie przez 100% czasu",,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Dawkowanie,lekarski,testowe,Modyfikacja dawki nie jest wymagana u pacjenta z eGFR wg wzoru Cockcrofta- Gaulta = 24 ml/min podczas stosowania:,ceftriaksonu,cefoperazonu,,,,ceftazydymu,cefepimu,,,,KOLOKWIUM 2 – 2018/19,wysoka
TARCZYCA,Wskazania,lekarski,testowe,Profilaktyczne zastosowanie leków przeciwinfekcyjnych jest uzasadnione:,w planowej operacji zmniejszenia żołądka w leczeniu otyłości olbrzymiej(pole czyste-skażone),w planowej implantacji sztucznej protezy stawu biodrowego (pole czyste),,,,w planowym usunięciu znamienia skórnego do diagnostyki histo-patologicznej (pole czyste),w planowym usunięciu tarczycy w wolu guzkowym nadczynnym (pole czyste),,,,KOLOKWIUM 2 – 2018/19,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,"Jaki lek można opisać w następujący sposób: ma działanie bójcze, jego celem farmakodynamicznym jest jak największy stosunek AUC24:MIC i łatwa jest jego sekwencja do stosowania doustnego:",Lewofloksacyna,,,,,Neomycyna,Wankomycyna,Klarytromycyna,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Które stwierdzenie jest prawdziwe w leczeniu zakażeń?,leki przeciwinfekcyjne są jedynie uzupełnieniem leczenia zabiegowego w postaci aspiracji lub drenażu w przypadku ropni i ropniaków,leczenie zakażenia w obrębie tylnej komory oka (szklistki) wymaga podania leków przeciwinfekcyjnych doszklistkowo,"nie jest możliwe wyleczenia „zakażenia” sztucznych materiałów: protez, cewników, sztucznych zastawek","w przewlekłym zapaleniu zatok konieczne jest chirurgiczna korekta nieprawidłowości anatomicznych, tj. polip czy, skrzywienie przegrody nosa",,,,,,,KOLOKWIUM 2 – 2018/19,niska
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,"U pacjenta z podejrzeniem atypowego zakażenia układu oddechowego, stosującego na co dzień leki z grupy inhibitorów reduktazy HMG-CoA (pacjent nie pamięta nazwy leku), planujesz włączyć antybiotyk makrolidowy. Za bezpieczną opcję terapeutyczną w tej sytuacji uznasz:",azytromycynę,,,,,klarytromycynę,telitromycynę,erytromycynę,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Wskaż prawidłowe zestawienia lek-działanie niepożądane:,izoniazyd – toczeń polekowy,pirazynamid– hiperurikemia,ryfampicyna – małopłytkowość,etambutol – pozagałkowe zapalenie nerwu wzrokowego,,,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Leki przeciwbakteryjne o wysokim potencjale do selekcji szczepów Clostridium difficile to:,klindamycyna,cyprofloksacyna,,,,wankomycyna,fidaksomycyna,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,lekarski,testowe,"Pacjent leczony jest dożylnie lekiem, którego farmakokinetyka opisana jest następująco: słabo wchłania się z przewodu pokarmowego, podlega ograniczonej dystrybucji do tkanek, nie jest metabolizowany (bądź jest metabolizowany w minimalnym stopniu), wydalany jest głównie przez nerki. Lekiem tym może być:",wankomycyna,kolistymetat sodu,amikacyna,,,erytromycyna,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,W leczeniu inwazyjnej aspergilozy znalazły zastosowanie:,amfoterycyna B podawana dożylnie,worykonazol podawany dożylnie,,,,kaspofungina podawana doustnie,terbinafina podawana doustnie,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Dobrą dystrybucją do ośrodkowego układu nerwowego charakteryzuje się:,ceftriakson,linezolid,flukonazol,,,kaspofungina,,,,,KOLOKWIUM 2 – 2018/19,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,W schematach eradykacji Helicobacter pylori są stosowane:,klarytromycyna,Amoksycylina,metronidazol,tetracyklina,,,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Ciąża,lekarski,testowe,U kobiety w ciąży z rumieniem wędrującym można zastosować:,azytromycynę,amoksycylinę,,,,doksycyklinę,klindamycynę,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Syntezę ściany komórkowej hamuje:,fosfomycyna,mykafungina,teikoplanina,,,nystatyna,,,,,KOLOKWIUM 2 – 2018/19,srednia
LEKI PRZECIWGRZYBICZE,Interakcje,lekarski,testowe,Wskaż prawidłowe stwierdzenie:,worykonazol jest istotnym klinicznie inhibitorem CYP3A4,posakonazol hamuje syntezę ergosterolu,,,,flukonazol wykazuje aktywność wobec Aspergillus spp,itrakonazol bardzo dobrze wchłania się z przewodu pokarmowego,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W zakażeniu o etiologii MRSA(methicyllin-resistant Staphylococcus aureus) zasadne jest zastosowanie:,ceftaroliny,linezolidu,,,,kloksacyliny,meropenemu,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W biegunce o etiologii Clostridium difficile uzasadnione może być podanie doustne:,wankomycyny,metronidazolu,fidaksomycyny,,,nifuroksazydu,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Wskaż właściwe skojarzenie lek – potencjalne działanie niepożądane:,chloramfenikol – zespół szarego dziecka,doksycyklina - fotodermatoza,,,,gentamycyna - żółtaczka cholestatyczna,klindamycyna – zespół serotoninowy,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Zaburzenia rytmu serca mogą wystąpić w trakcie stosowania:,moksyfloksacyny,klarytromycyny,,,,fidaksomycyny,Mupirocyny,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Wskaż prawidłowe skojarzenie lek – wskazanie:,spiramycyna – toksoplazmoza,fenoksymetylopenicylina – angina paciorkowcowa,metronidazol - lamblioza,,,neomycyna – biegunka poantybiotykowa,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,lekarski,testowe,Kolistymetat sodu:,jest prolekiem,jest zarezerwowany do leczenia zakażeń szczepami wielolekoopornymi G(-),,,,działa na VRE (Vancomycin-Resistant Enterococcus),dobrze wchłania się z przewodu pokarmowego,,,,KOLOKWIUM 2 – 2018/19,srednia
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Działanie neurotoksyczne wykazuje:,linezolid,cyprofloksacyna,kolistyna,metronidazol,,,,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Tygecyklina:,jest stosowana w wewnątrzbrzusznych zakażeniach szczepami wielolekoopornymi,,,,,dobrze wchłania się z przewodu pokarmowego,bardzo często jest przyczyną zapalenia ścięgna Achillesa,działa na Pseudomonas aeruginosa,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Daptomycyna może być skuteczna w zakażeniach szczepami:,MRSA (methicyllin-resistant Staphylococcus aureus),MSSA (methicillin-sensitive Staphylococcus aureus),VRE (Vancomycin-Resistant Enterococcus),,,CPE (Carbapenemase-producing Enterobacteriaceae),,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Wskaż prawidłowe skojarzenie lek – mechanizm działania:,plazomycyna – hamuje syntezę białek,,,,,dalbawancyna – hamuje syntezy DNA,spiramycyna – hamuje syntezę RNA,telitromycyna – hamuje syntezę ściany komórkowej,,,KOLOKWIUM 2 – 2018/19,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Do bezpiecznych i skutecznych środków do dezynfekcji należą:,oktenidyna,,,,,woda utleniona,spirytusowy roztwór fioletu gencjanowego,mleczan etakrydyny,,,KOLOKWIUM 2 – 2018/19,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Lewofloksacyna:,wykazuje aktywność wobec Streptococcus pneumoniae,wykazuje aktywność wobec Legionella pneumophila,,,,ma taki sam zakres działania jak moksyfloksacyna,nie działa na Pseudomonas aeruginosa,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,"W przypadku rozpoznania anginy paciorkowcowej u osoby uczulonej na antybiotyki beta￾laktamowe, można zastosować:",klindamycynę,azytromycynę,,,,norfloksacynę,kloksacylinę,,,,KOLOKWIUM 2 – 2018/19,wysoka
LEKI PRZECIWWIRUSOWE,Klasyfikacja,lekarski,testowe,Wskaż prawidłowe połączenie:,"owsica – pyrantel, WZW C (wirusowe zapalenie wątroby typu C) – daklataswir","wszawica – permetryna, CMV – walgancyklowir",,,,"CMV (cytomegalovirus) – acyklowir, owsica – pyrantel","acyklowir – HSV-2 (herpes simplex 2), amantadyna – profilaktyka grypy typu B",,,,KOLOKWIUM 2 – 2018/19,wysoka
NADCIŚNIENIE TĘTNICZE,Mechanizm działania,lekarski,testowe,Które pary leków mających ten sam zasadniczy mechanizm działania różnią się istotnie profilem działań klinicznych?,werapamil i nitrendypina,doksazosyna i tamsulozyna,spironolakton i eplerenon,,,moksonidyna i rylmenidyna,,,,,KOLOKWIUM 3 – 2018/19,wysoka
ZABURZENIA RYTMU SERCA,Mechanizm działania,lekarski,testowe,Amiodaron:,"ma niezgodność farmaceutyczną z 0,9% NaCl",ma działanie chronotropowe ujemne i hipotensyjne,,,,to niewybiórczy antagonista kanałów potasowych wiążący się z nimi w okresie ich otwarcia,zwiększa próg defibrylacji elektrycznej,,,,KOLOKWIUM 3 – 2018/19,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Do leków aktywujących pośrednio lub bezpośrednio cyklazę guanylową komórek mięśniówki gładkiej naczyń należy:,nitroprusydek sodu,riocyguat,sakubitryl,,,wardenafil,,,,,KOLOKWIUM 3 – 2018/19,srednia
NIEWYDOLNOŚĆ SERCA,Wskazania,lekarski,testowe,Czy zaproponowany wlew poszczególnych amin katecholowych jest adekwatny na początku leczenia (wybierz najmniejszą dawkę zalecaną) u pacjenta z przedstawionym rozpoznaniem?,"pacjent = 50 kg z ostrą niewydolnością serca i ciśnieniem skurczowym 85 mmHg – dopamina 200 mg/40 ml 0,9% NaCl → wlew = 3 ml/h","pacjent = 100 kg we wstrząsie septycznym z ciśnieniem skurczowym 60 mmHg – noradrenalina 4 mg/40 ml 0,9% NaCl → wlew = 12 ml/h","pacjent = 50 kg z zaostrzeniem przewlekłej niewydolności serca skurczowym 105 mmHg – dobutamina 250 mg/50 ml 0,9% NaCl → wlew =1,2 ml/h",,,"pacjent = 100 kg z ostrą niewydolnością serca i ciśnieniem skurczowym 80 mmHg – dobutamina 250 mg/50 ml 0,9% NaCl → wlew = 2,4 ml/h",,,,,KOLOKWIUM 3 – 2018/19,srednia
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,"Wskaż lek o bardzo krótkim okresie półtrwania (<5 min), który z tego powodu wymaga stosowania we wlewie dożylnym lub jest wykorzystywany w celu osiągnięcia błyskawicznego krótkotrwałego efektu terapeutycznego:",esmolol,sukcynylocholina,adenozyna,,,diazepam,,,,,KOLOKWIUM 3 – 2018/19,niska
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,Wskaż poprawną kombinację terapeutyczną w leczeniu zapalnego kaszlu w infekcji oskrzeli:,ambroksol w nebulizacji + acetylocysteina doustnie,,,,,wazycyna doustnie + 10% NaCl w nebulizacji,sulfagwajakol + kodeina w doustnym preparacie złożonym,dornaza alfa w inhalacjach + erdosteina doustnie,,,KOLOKWIUM 3 – 2018/19,wysoka
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,"W napadzie duszności u osoby z cechami skurczu oskrzeli (cichy szmer pęcherzykowy, głośne świsty, wydłużona faza wydechu) w celu przerwania napadu zasadne jest zastosowanie:",salbutamolu wziewnie w nebulizacji,bromku ipratropium wziewnie w nebulizacji,,,,triazotanu glicerolu w aerozolu na błonę śluzową jamy ustnej,cyklezonidu wziewnie z inhalatora aerozolowego,,,,KOLOKWIUM 3 – 2018/19,wysoka
NADCIŚNIENIE TĘTNICZE,Farmakokinetyka,lekarski,testowe,"Który lek ma w swojej grupie farmakologicznej nietypową, wyróżniającą go farmakokinetykę:",cyklezonid,amlodypina,,,,metoprolol,iwabradyna,,,,KOLOKWIUM 3 – 2018/19,niska
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Lekiem stosowanym „ratunkowo” w poważnych powikłaniach polekowych jest:,adrenalina,półbursztynian hydrokortyzonu,dantrolen,acetylocysteina,,,,,,,KOLOKWIUM 3 – 2018/19,niska
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Do leków zmniejszających obciążenie wstępne należy:,diazotan izosorbidu,furosemid,,,,diosmina,pentoksyfilina,,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,lekarski,testowe,Pacjentka z zespołem depresyjnym stosująca tryptany ma zwiększone ryzyko zespołu serotoninowego po włączeniu:,fluoksetyny,wenlafaksyny,klomipraminy,duloksetyny,,,,,,,KOLOKWIUM 3 – 2018/19,wysoka
LEKI PRZECIWPSYCHOTYCZNE,Sposób podania,lekarski,testowe,"Jeśli splątany i agresywny pacjent odmawia przyjmowania leków doustnie to po zastosowaniu krótkotrwałego unieruchomienia kończyn można mu podać dożylnie lek uspokajający, którym jest:",midazolam,,,,,piracetam,haloperydol,rysperydon,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI PRZECIWDEPRESYJNE,Wskazania,lekarski,testowe,Jako lek normotymiczny w chorobie afektywnej dwubiegunowej można zastosować:,lamotryginę,olanzapinę,,,,fluoksetynę,haloperydol,,,,KOLOKWIUM 3 – 2018/19,srednia
PADACZKA,Wskazania,lekarski,testowe,Który lek jest stosowany jedynie we wskazaniu wymienionym przy tym leku?,netupitant – terapia wspomagająca stosowanie wysoce emetogennej chemioterapii przeciwnowotworowej,memantyna – choroba Alzheimera,,,,karbamazepina – padaczka,pregabalina – polineuropatia cukrzycowa,,,,KOLOKWIUM 3 – 2018/19,wysoka
ZNIECZULENIA OGÓLNE,Wskazania,lekarski,testowe,Idealny lek znieczulenia ogólnego:,jest skuteczny we wszystkich grupach pacjentów,działa przeciwbólowo,jest bezpieczny dla wszystkich grup pacjentów,jest tani,,,,,,,KOLOKWIUM 3 – 2018/19,niska
CHOROBA PARKINSONA,Wskazania,lekarski,testowe,Cholinolityki:,są lekami z wyboru w polekowym zespole parkinsonowskim,zmniejszają drżenie w chorobie Parkinsona,nie różnią się skutecznością w chorobie Parkinsona,można podawać w połączeniu z lewodopą,,,,,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI PRZECIWNOWOTWOROWE,Klasyfikacja,lekarski,testowe,Wskaż prawidłowe połączenie mykotoksyny z zagrożeniem poekspozycyjnym:,zearaleon – działanie estrogenne i anaboliczne,aflatoksyna – ryzyko nowotworów wątroby,,,,patulina – ryzyko nowotworów dróg moczowych,ochratoksyna – silne działanie alergizujące,,,,KOLOKWIUM 3 – 2018/19,niska
LEKI PRZECIWHISTAMINOWE,Wskazania,lekarski,testowe,Leki przeciwhistaminowe drugiej generacji blokujące receptor H1 w odróżnieniu od leków pierwszej generacji:,są w znaczącym stopniu pozbawione działania sedatywnego,,,,,mają istotne działanie cholinolityczne,mogą być stosowane w postaci wstrzyknięć,są skuteczne w profilaktyce choroby lokomocyjnej,,,KOLOKWIUM 3 – 2018/19,srednia
GLIKOKORTYKOSTEROIDY,Wskazania,lekarski,testowe,W leczeniu ostrego napadu dny moczanowej stosuje się:,kolchicynę,glikokortykosteroidy,niesteroidowe leki przeciwzapalne,,,allopurynol,,,,,KOLOKWIUM 3 – 2018/19,niska
LEKI MOCZOPĘDNE,Klasyfikacja,lekarski,testowe,Diuretyki pętlowe:,zwiększają filtrację kłębuszkową też przez korzystny wpływ na syntezę prostaglandyn w nerkach,ulegają wydzielaniu cewkowemu w kanalikach proksymalnych,tworzą wysoki ładunek sodowy w kanaliku dalszym aktywując układ reninowo￾angiotensynowy,zwiększają pojemność łożyska żylnego jeszcze przed wystąpieniem efektu diuretycznego,,,,,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI MOCZOPĘDNE,Wskazania,lekarski,testowe,Który lek może być zastosowany u chorego z nadwrażliwością na sulfonamidy?,torasemid,eplerenon,,,,furosemid,hydrochlorotiazyd,,,,KOLOKWIUM 3 – 2018/19,srednia
UKŁAD WSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące metoprololu:,ma działanie hipotensyjne związane ze zmniejszeniem aktywności reninowej osocza,zmienia działanie układu współczulnego na poziomie ośrodkowego układu nerwowego,jest niebezpieczny w naczynioskurczowych chorobach tętnic,,,w terapii przewlekłej powoduje down-regulację receptorów beta-adrenergicznych,,,,,KOLOKWIUM 3 – 2018/19,wysoka
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,lekarski,testowe,"W filmie „Piękny umysł” Alicia, żona chorego na schizofrenię Johna Nasha, pyta go: „Czy to przez lek?”, a on odpowiada: „Tak”. O którym działaniu niepożądanym chloropromazyny mogli rozmawiać?",zmniejszeniu libido,,,,,nadciśnieniu tętniczym,ślinotoku,przymusie robienia notatek na ścianach,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI PRZECIWDEPRESYJNE,Wskazania,lekarski,testowe,"W arcydziele „Sto lat samotności” Gabriela Garcii Marqueza wioskę Macondo nawiedza zaraza bezsenności i zapomnienia. Wskaż uzasadnioną opcję terapeutyczną do zaproponowania w leczeniu krótkotrwałej bezsenności, gdyby wydarzenia opisane przez Marqueza działy się współcześnie:",trazodon,,,,,triazolam,dezimipramina,hydroksyzyna,,,KOLOKWIUM 3 – 2018/19,srednia
LEKI PRZECIWDEPRESYJNE,Mechanizm działania,lekarski,testowe,Amitryptylina w przeciwieństwie do wenlafaksyny:,działa antagonistycznie wobec receptora muskarynowego (M1),,,,,jest skuteczna w bólach neuropatycznych,zmniejsza wychwyt zwrotny noradrenaliny i serotoniny,jest agonistą receptora dopaminowego (D2),,,KOLOKWIUM 3 – 2018/19,srednia
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Za reakcję paradoksalną uznasz:,zwiększenie ciśnienia krwi po metoprololu,pobudzenie i agresję po alprazolamie,,,,drgawki po amitryptylinie,zaburzenia koordynacji ruchowej po zopiklonie,,,,KOLOKWIUM 3 – 2018/19,niska
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Który lek ma zastosowanie w wymiotach związanych z chemioterapią przeciwnowotworową?,deksametazon,palonosetron,aprepitant,metoklopramid,,,,,,,KOLOKWIUM 3 – 2018/19,wysoka
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,lekarski,testowe,"Pacjentka od wielu lat otrzymuje perazynę, mianserynę i lorazepam. Na tej podstawie można rozpoznać (możliwe jest więcej niż jedno rozpoznanie):",zaburzenia depresyjno-urojeniowe,uzależnienie lekowe,,,,dwubiegunową chorobę afektywną,fobię społeczną,,,,KOLOKWIUM 3 – 2018/19,srednia
